Poligonal,Ponto,Longitude,Latitude,Distância em km (em relação ao anterior)
12,11,-97.0295181274,44.839881897,15.4442935799
12,12,-97.0465316772,44.8563270569,2.2677798341
12,13,-97.0571060181,44.8852462769,3.3218854644
12,14,-97.0669174194,44.9278564453,4.8006279969
12,15,-97.0684280396,45.0886039734,17.8747041055
12,16,-97.07472229,45.1782150269,9.9765197624
12,17,-97.063583374,45.2106132507,3.7067485875
12,18,-97.0629882813,45.3227996826,12.474648998
12,19,-97.0642547607,45.354473114,3.5233157179
12,20,-97.0355911255,45.3923950195,4.7742886425
12,21,-97.0288619995,45.4007568359,1.0679758161
12,22,-96.9958572388,45.4796981812,9.1477839495
12,23,-96.9895095825,45.6145896912,15.0073943685
12,24,-96.9887008667,45.6594772339,4.9916630328
12,25,-96.8646850586,45.8474617004,23.0111338394
12,26,-96.8455734253,45.9355506897,9.9060980905
12,27,-96.841255188,45.9554367065,2.2362889181
12,28,-96.8412399292,46.0467758179,10.1564458526
12,29,-96.8460617065,46.2577972412,23.4674510905
12,30,-96.8623733521,46.6258468628,40.9443311548
12,31,-96.8564910889,46.8449554443,24.3678864154
13,1,-96.774810791,43.6078147888,360.0103918257
13,2,-97.0063323975,43.599773407,18.6633508691
13,3,-97.0573501587,43.6152534485,4.4537282261
13,4,-97.0851821899,43.6345176697,3.0995377528
13,5,-97.1122360229,43.6491699219,2.7191339513
13,6,-97.1679611206,43.6625709534,4.7242175983
13,7,-97.3940124512,43.6658782959,18.1868821528
13,8,-97.785369873,43.6639175415,31.480471451
13,9,-97.8436965942,43.6849021912,5.2392036011
13,10,-98.0268630981,43.6855697632,14.7286157969
13,11,-98.4417800903,43.6891098022,33.364622351
13,12,-98.4960098267,43.700504303,4.5402894089
13,13,-98.6864547729,43.7051124573,15.3177745458
13,14,-98.8533248901,43.7281417847,13.653301874
13,15,-98.9720916748,43.7340888977,9.5656231935
13,16,-99.2597961426,43.7543029785,23.2206168866
13,17,-99.3031387329,43.7695274353,3.870565969
13,18,-99.3340454102,43.7906837463,3.4191897273
13,19,-99.4213790894,43.8128852844,7.4309104039
13,20,-99.5019836426,43.8512153625,7.7439462507
13,21,-99.5613098145,43.8568649292,4.7982777921
13,22,-99.6802597046,43.8635368347,9.5656388302
13,23,-99.8117446899,43.8837203979,10.7757613952
13,24,-99.9428405762,43.8900871277,10.5297505457
13,25,-100.0472564697,43.8859519958,8.380277756
13,26,-100.1361541748,43.8862991333,7.1243926636
13,27,-100.2094573975,43.9043731689,6.2079487133
13,28,-100.3022079468,43.904258728,7.4307968028
13,29,-100.5905914307,43.9042549133,23.1040904584
13,30,-100.7091674805,43.8821907043,9.8132285648
13,31,-100.7908706665,43.8864746094,6.5652182168
13,32,-100.866897583,43.9037895203,6.3889058684
13,33,-101.0635452271,43.9092102051,15.7655320215
13,34,-101.1049575806,43.9060173035,3.3365438159
13,35,-101.1470031738,43.8877944946,3.9313558183
13,36,-101.2168502808,43.8564720154,6.5937909212
13,37,-101.2852706909,43.8433189392,5.6781573213
13,38,-101.361541748,43.8562469482,6.2827800925
13,39,-101.5183258057,43.8547286987,12.5723131406
13,40,-101.5599365234,43.8445701599,3.5227484953
13,41,-101.6626586914,43.8459663391,8.2392915259
13,42,-101.8758239746,43.845916748,17.0946450668
13,43,-102.1148910522,43.9178657532,20.7634600498
13,44,-102.1787948608,43.9501953125,6.2536710752
13,45,-102.2134552002,43.985294342,4.788165482
13,46,-102.2418212891,43.9943313599,2.4818369764
13,47,-102.3059921265,44.0215911865,5.960432357
13,48,-102.3633956909,44.0674209595,6.8571252871
13,49,-102.4569473267,44.0671768188,7.4744647135
13,50,-102.5253372192,44.1121520996,7.4056690245
13,51,-102.8851318359,44.1106491089,28.7252429579
13,52,-102.9312896729,44.1310768127,4.3283967183
13,53,-102.979675293,44.1328239441,3.8664837333
13,54,-103.0898742676,44.1318016052,8.7955320756
13,55,-103.1435394287,44.1189460754,4.5156576446
13,56,-103.232093811,44.1153869629,7.0802600042
13,57,-103.2777481079,44.1334152222,4.1590814983
13,58,-103.3174819946,44.1723556519,5.3663351235
13,59,-103.3871841431,44.2164459229,7.4104956168
13,60,-103.4175415039,44.2462081909,4.0990670206
13,61,-103.4451522827,44.3023872375,6.6223254705
13,62,-103.4346923828,44.3310661316,3.295740224
13,63,-103.4491119385,44.3653144836,3.9771062859
13,64,-103.4681625366,44.3808937073,2.3008093576
13,65,-103.5160140991,44.3929290771,4.0310817777
13,66,-103.5324935913,44.4144134521,2.724142949
13,67,-103.5534439087,44.4377403259,3.0815185532
13,68,-103.6242675781,44.471698761,6.771857713
13,69,-103.6664810181,44.4786529541,3.4374699783
13,70,-103.733039856,44.4824485779,5.2973704398
13,71,-103.8366546631,44.5227432251,9.3594623437
13,72,-103.8680343628,44.5268859863,2.5299507128
13,73,-103.9410552979,44.5360565186,5.877287966
13,74,-103.995513916,44.5579605103,4.9554802392
13,75,-104.0590744019,44.5509300232,5.0965745395
13,76,-104.1896438599,44.5363883972,10.4732559956
13,77,-104.2478256226,44.5030059814,5.9208764711
13,78,-104.2776565552,44.4377403259,7.6334918284
13,79,-104.3249282837,44.4221305847,4.1355005875
13,80,-104.3439559937,44.390171051,3.8618286648
13,81,-104.40209198,44.3831672668,4.6848919025
13,82,-104.6874542236,44.3450775146,23.0766989165
13,83,-104.7924194336,44.3062019348,9.4022664618
13,84,-104.9133300781,44.2753410339,10.2172532987
13,85,-104.9244308472,44.2939529419,2.2503035085
13,86,-104.9359893799,44.2988891602,1.0712088881
13,87,-104.9894638062,44.2880172729,4.424403673
13,88,-105.0181427002,44.2846069336,2.3141205664
13,89,-105.169052124,44.2993240356,12.1221923519
13,90,-105.2181549072,44.2956924438,3.9286426706
13,91,-105.3460006714,44.3035774231,10.211915481
13,92,-105.4515457153,44.281955719,8.7377319934
13,93,-105.4641494751,44.2745246887,1.2998324758
13,94,-105.498588562,44.2732315063,2.7456977898
13,95,-105.5535964966,44.2780685425,4.4123278749
13,96,-105.6903686523,44.2590789795,11.0931590046
13,97,-105.8290023804,44.2171287537,11.988965205
13,98,-106.0241851807,44.1960678101,15.7328783552
13,99,-106.1553726196,44.1908111572,10.4753293978
13,100,-106.2206268311,44.1778869629,5.3980528833
13,101,-106.3067092896,44.19739151,7.1981621855
13,102,-106.3717193604,44.1962471008,5.1842379042
13,103,-106.4656982422,44.2556304932,9.9838591578
13,104,-106.55418396,44.2662696838,7.1451166582
13,105,-106.5916213989,44.2938156128,4.2736605262
13,106,-106.6186828613,44.3662452698,8.3364897262
13,107,-106.6317596436,44.3737411499,1.3323429376
13,108,-106.6557388306,44.3819351196,2.1123675354
14,1,-96.774810791,43.6078147888,794.5935765777
14,2,-96.7140197754,43.601272583,4.948542491
14,3,-96.6908569336,43.5986175537,1.8883919982
14,4,-96.6304931641,43.6176261902,5.2998161254
14,5,-96.5798034668,43.6056480408,4.292809524
14,6,-96.4589614868,43.6067276001,9.7304470528
14,7,-96.454788208,43.6067619324,0.3360341051
14,8,-96.4384918213,43.60546875,1.3199764695
14,9,-96.3887710571,43.6026000977,4.0161454677
14,10,-96.3327865601,43.6021232605,4.5082436765
14,11,-96.2110748291,43.6318511963,10.3405650367
14,12,-95.9874954224,43.6326255798,17.9941122194
14,13,-95.9375152588,43.6409378052,4.1269850193
14,14,-95.5944747925,43.6385421753,27.6060857193
14,15,-95.5760879517,43.6384773254,1.479655911
14,16,-95.1877365112,43.6307182312,31.2655931968
14,17,-95.0018844604,43.6349601746,14.9648561016
14,18,-94.9677124023,43.6432189941,2.8991798807
14,19,-94.9292449951,43.6526679993,3.2685637053
14,20,-94.7274246216,43.6648178101,16.2916648478
14,21,-94.6113128662,43.6786231995,9.4639851291
14,22,-94.445892334,43.6784095764,13.3029857697
14,23,-94.4072723389,43.6698684692,3.2479665783
14,24,-94.1086196899,43.6650924683,24.0276444512
14,25,-93.7836990356,43.6628684998,26.1373021239
14,26,-93.6339797974,43.6689796448,12.0619643994
14,27,-93.5791320801,43.6629257202,4.462788442
14,28,-93.4770507813,43.6810913086,8.4550005161
14,29,-93.4056091309,43.6841278076,5.7547931526
14,30,-93.3219604492,43.6829299927,6.7277061626
15,1,-71.5670166016,43.1839103699,1752.4795980595
15,2,-71.6890792847,43.1788330078,9.9132190533
15,3,-71.7529602051,43.2427368164,8.7917378864
15,4,-71.8306884766,43.2704391479,7.007914508
15,5,-71.8427200317,43.3079566956,4.2839139873
15,6,-71.8992462158,43.33253479,5.3272796294
15,7,-71.9716949463,43.3951148987,9.0952319991
15,8,-72.0396499634,43.4211769104,6.207429713
15,9,-72.0673828125,43.4434356689,3.3377769032
15,10,-72.1230010986,43.485206604,6.4592471731
15,11,-72.1550521851,43.5134277344,4.0657860194
15,12,-72.1453399658,43.5456161499,3.6638306608
15,13,-72.1680297852,43.5946426392,5.7498134499
15,14,-72.2113876343,43.6284751892,5.1320168614
15,15,-72.2378768921,43.6556930542,3.7017661453
15,16,-72.2580795288,43.6573295593,1.635428463
15,17,-72.2876358032,43.63904953,3.128411852
15,18,-72.3221664429,43.6235542297,3.269886375
15,19,-72.325881958,43.6240196228,0.3035148735
15,20,-72.3625030518,43.628616333,2.9915837538
16,1,-112.6263580322,46.0055541992,3152.9132361983
16,2,-112.6581802368,45.930065155,8.7468928271
16,3,-112.6728973389,45.8348121643,10.6527370787
16,4,-112.7220535278,45.7415885925,11.0444957152
16,5,-112.7230148315,45.7265090942,1.6784228076
16,6,-112.6750259399,45.6714248657,7.1698290052
16,7,-112.6536483765,45.6391563416,3.9541195615
16,8,-112.6690597534,45.6126441956,3.1823024131
16,9,-112.7043457031,45.5707550049,5.4068593961
16,10,-112.7155303955,45.4878311157,9.2617861245
16,11,-112.7012329102,45.4370498657,5.7556609603
16,12,-112.6997680664,45.3487205505,9.8224377477
16,13,-112.6460571289,45.2463798523,12.1304786515
16,14,-112.646987915,45.2121200562,3.8102128052
16,15,-112.6762008667,45.1810569763,4.1436861754
16,16,-112.7402496338,45.13098526,7.4981400816
16,17,-112.7919616699,45.0933227539,5.8314259955
16,18,-112.8102493286,45.0367507935,6.4523976242
16,19,-112.8392181396,45.0061149597,4.0974030656
16,20,-112.8431167603,44.9651184082,4.5689082986
16,21,-112.8100509644,44.9275474548,4.921897422
16,22,-112.8142776489,44.8810844421,5.1771643909
16,23,-112.6927947998,44.705039978,21.796466881
16,24,-112.5933380127,44.6428909302,10.4692334476
16,25,-112.5905609131,44.6263618469,1.8510395823
16,26,-112.576385498,44.6172142029,1.5143629556
16,27,-112.5559692383,44.6151695251,1.6318954555
16,28,-112.5255889893,44.6278572083,2.7877652496
16,29,-112.4953079224,44.6291160583,2.4003727328
16,30,-112.4139328003,44.6067085266,6.9059215225
16,31,-112.3600921631,44.5856590271,4.8633238521
16,32,-112.2984924316,44.5373687744,7.2560546556
16,33,-112.2558059692,44.5157699585,4.1495695405
16,34,-112.243598938,44.4984512329,2.1553635032
16,35,-112.1742630005,44.339389801,18.5242277182
16,36,-112.2010269165,44.3042984009,4.4450683042
16,37,-112.2315673828,44.2136497498,10.3689489367
16,38,-112.2331008911,44.1730918884,4.5114853304
16,39,-112.2361831665,44.0222167969,16.7783502149
16,40,-112.1789245605,43.8308601379,21.7664032004
16,41,-112.131401062,43.7228813171,12.5983726632
16,42,-112.0692214966,43.6102600098,13.4847185397
16,43,-112.0503616333,43.5115509033,11.0806539126
16,44,-112.0475997925,43.4973182678,1.5981957041
16,45,-112.0582427979,43.4813117981,1.9761096367
16,46,-112.1195602417,43.4362068176,7.0461645006
16,47,-112.2200927734,43.3446884155,13.0211008902
16,48,-112.3531036377,43.2036857605,19.0205907455
16,49,-112.3580474854,43.1956672668,0.9775327079
16,50,-112.3757400513,43.1571235657,4.5196143074
16,51,-112.3887176514,43.0769882202,8.9726888553
16,52,-112.4282302856,42.9540710449,14.040219464
16,53,-112.4270706177,42.9144248962,4.4094613698
17,1,-71.2035980225,42.6639976501,3329.6678722515
17,2,-71.2801589966,42.6201477051,7.9366707817
17,3,-71.3229675293,42.609210968,3.7081504497
17,4,-71.3485641479,42.6079177856,2.0997314639
18,1,-71.3485641479,42.6079177856,0
18,2,-71.3649978638,42.6182518005,1.7688845506
18,3,-71.3773651123,42.6207847595,1.0504101072
18,4,-71.3903884888,42.6224021912,1.0806681471
18,5,-71.4046325684,42.624961853,1.1996899811
18,6,-71.4138412476,42.6287841797,0.8650248053
18,7,-71.4216003418,42.6380271912,1.2079828318
18,8,-71.4317169189,42.6509666443,1.6597675002
18,9,-71.4381866455,42.6615486145,1.2901347144
18,10,-71.4440765381,42.6707572937,1.1315508511
18,11,-71.4487457275,42.679485321,1.0428802763
18,12,-71.4538574219,42.6932296753,1.5843851381
18,13,-71.4557266235,42.7006607056,0.8402942411
18,14,-71.4600524902,42.7115364075,1.2599217082
18,15,-71.4622268677,42.7202186584,0.9816296782
18,16,-71.4657669067,42.7257499695,0.6796443711
18,17,-71.4692993164,42.7317237854,0.7242158483
18,18,-71.479675293,42.7382888794,1.118504226
18,19,-71.4863739014,42.7425117493,0.7209349902
18,20,-71.4918899536,42.7453460693,0.5497533021
18,21,-71.4972915649,42.7518157959,0.8438471612
18,22,-71.5007171631,42.7605247498,1.0079703669
18,23,-71.5022125244,42.7710113525,1.1724290924
18,24,-71.5006027222,42.7809867859,1.1169722264
18,25,-71.5016479492,42.7864608765,0.6146387898
18,26,-71.5009307861,42.7891807556,0.308046932
18,27,-71.5076904297,42.8097763062,2.3555911271
18,28,-71.5110015869,42.8216552734,1.3482095306
18,29,-71.5142669678,42.8353691101,1.5479851397
18,30,-71.5173873901,42.8527069092,1.9445886277
18,31,-71.5156402588,42.8667755127,1.5708256535
18,32,-71.5082397461,42.8811836243,1.711852365
18,33,-71.50025177,42.8942222595,1.5891934785
18,34,-71.4954681396,42.905506134,1.3138206251
18,35,-71.493057251,42.9200134277,1.6250419166
18,36,-71.4932250977,42.9327545166,1.4168103535
18,37,-71.4948501587,42.9396095276,0.7736372848
18,38,-71.4958572388,42.9464492798,0.764950753
18,39,-71.4975738525,42.9510269165,0.5278369017
18,40,-71.4967956543,42.9551086426,0.4582647689
18,41,-71.4973068237,42.9582977295,0.3570419248
18,42,-71.4964523315,42.9646530151,0.7100881445
18,43,-71.5011520386,42.9729881287,1.0026064601
18,44,-71.503288269,42.9798583984,0.7834579112
18,45,-71.5039520264,42.9825401306,0.3030441333
18,46,-71.503074646,42.9893493652,0.760508369
18,47,-71.5038528442,43.0025520325,1.469433208
18,48,-71.5003585815,43.0124931335,1.1413317534
18,49,-71.4975128174,43.0215415955,1.0324010829
18,50,-71.4927520752,43.0319137573,1.2165255104
18,51,-71.4874267578,43.0404510498,1.0433148721
18,52,-71.4828338623,43.0462837219,0.7482949782
18,53,-71.4789505005,43.0493888855,0.4677555872
19,1,-112.4270706177,42.9144248962,3297.2644047816
19,2,-112.4594497681,42.9173774719,2.6571260377
19,3,-112.4931716919,42.9189987183,2.7519217975
19,4,-112.5551605225,42.9102020264,5.1419998682
19,5,-112.7513046265,42.8589401245,16.9670428026
19,6,-112.7635879517,42.8525123596,1.2301876303
19,7,-112.7628097534,42.8242683411,3.141232481
19,8,-112.8682022095,42.7543678284,11.5920424778
19,9,-113.0442581177,42.6279144287,20.1185889551
19,10,-113.1752319336,42.6026992798,11.07828278
19,11,-113.4990463257,42.5717849731,26.7316438094
20,1,-113.4990463257,42.5717849731,0
20,2,-113.6206665039,42.5690879822,9.9638784624
20,3,-113.7223815918,42.565322876,8.3403009952
20,4,-113.7841033936,42.5641365051,5.05652533
20,5,-113.9249191284,42.5629920959,11.5332429635
20,6,-114.0551300049,42.5619125366,10.6648890309
20,7,-114.2101669312,42.5635108948,12.6986464629
20,8,-114.278175354,42.5754051208,5.7241232914
20,9,-114.3599243164,42.6048240662,7.4489598349
20,10,-114.4337234497,42.6472206116,7.6603743852
20,11,-114.5070877075,42.6877479553,7.5025636891
20,12,-114.542388916,42.7125167847,3.9883972706
20,13,-114.6316299438,42.7314491272,7.5879586671
20,14,-114.6931228638,42.7584686279,5.8516601031
20,15,-114.9157409668,42.913646698,25.0446729405
20,16,-114.9484481812,42.9300842285,3.2300927647
